round,stage,heterogeneity,norm_mean,norm_median,mean_vector_norm,norm_client_0,norm_client_1,norm_client_2,norm_client_3,norm_client_4,norm_client_5,norm_client_6,norm_client_7,norm_client_8,norm_client_9,cosine_mean,cosine_median,cosine_valid_pairs
30,client_update,10.965060234069824,3.3867955207824707,3.253660202026367,0.9180741906166077,2.7733187675476074,2.5571417808532715,3.5421111583709717,3.1814658641815186,3.140193223953247,3.325854778289795,4.347850799560547,3.017921209335327,4.432603359222412,3.5494933128356934,-0.04808022454380989,-0.0426839180290699,45
35,raw_gradient,75.68109130859375,8.79773235321045,8.452058792114258,2.951266288757324,8.110642433166504,7.589670181274414,6.7892842292785645,9.861573219299316,4.376201629638672,8.793476104736328,13.003799438476562,9.214048385620117,13.42878532409668,6.809837818145752,-0.032396864145994186,-0.05054854229092598,45
35,clipped_gradient,16.166213989257812,4.14627742767334,3.945833206176758,1.2296444177627563,3.495237350463867,3.178494930267334,4.2348313331604,3.8999693393707275,3.7936928272247314,3.991696834564209,5.276686191558838,3.7241227626800537,5.478048324584961,4.389993667602539,-0.032396867871284485,-0.05054853856563568,45
35,client_update,12.275604248046875,3.595130205154419,3.433067798614502,1.0199196338653564,2.9876136779785156,2.716895818710327,3.7203197479248047,3.3577420711517334,3.2803142070770264,3.5083937644958496,4.6162543296813965,3.207467794418335,4.759680271148682,3.796621561050415,-0.041204385459423065,-0.04050157219171524,45
40,raw_gradient,119.9629135131836,11.138279914855957,10.540702819824219,3.6166512966156006,8.531615257263184,8.624382972717285,9.965535163879395,10.76016616821289,9.060853004455566,10.321239471435547,11.235835075378418,10.870523452758789,19.377166748046875,12.635482788085938,-0.022544581443071365,-0.01867241971194744,45
40,clipped_gradient,18.330774307250977,4.438073635101318,4.244218826293945,1.4017903804779053,3.7180068492889404,3.382200002670288,4.404266834259033,4.207045555114746,3.9891357421875,4.2813920974731445,5.7140021324157715,4.056577205657959,5.934845447540283,4.693260192871094,-0.022544585168361664,-0.01867242343723774,45
40,client_update,13.86156177520752,3.8253307342529297,3.657670021057129,1.1102423667907715,3.2061967849731445,2.896474599838257,3.843076467514038,3.6148061752319336,3.4162545204162598,3.7005341053009033,4.9434614181518555,3.4456119537353516,5.1237311363220215,4.0631585121154785,-0.03906605765223503,-0.05902211740612984,45
45,raw_gradient,124.1059799194336,11.104737281799316,12.2525053024292,3.3111820220947266,6.246274471282959,5.941832065582275,11.791228294372559,12.71378231048584,9.15578842163086,13.015386581420898,14.373372077941895,7.498847007751465,15.526327133178711,14.784531593322754,-0.03659818693995476,-0.03684059530496597,45
45,clipped_gradient,21.704181671142578,4.778260707855225,4.545619010925293,1.3949122428894043,3.9036777019500732,3.6007964611053467,4.672322750091553,4.483418941497803,4.286661624908447,4.607819557189941,6.219346046447754,4.325161457061768,6.589296340942383,5.0941081047058105,-0.03659818693995476,-0.03684058412909508,45
45,client_update,15.734664916992188,4.074517726898193,3.903317928314209,1.2091827392578125,3.340660572052002,3.010641574859619,4.053625106811523,3.8376293182373047,3.62496280670166,3.9690065383911133,5.316140174865723,3.6681201457977295,5.565523624420166,4.358870506286621,-0.03566059470176697,-0.06549296528100967,45
