round,client_id,input_norm,output_norm,threshold,scale,clipped
55,3,9.858169555664062,5.071911811828613,5.0719118092426365,0.5144881900427976,1
55,4,11.917590141296387,4.742226600646973,4.742226617942838,0.397918248943164,1
55,5,18.592130661010742,5.330793857574463,5.330794130495907,0.28672312790666776,1
55,6,18.635478973388672,7.24650764465332,7.246507856157463,0.388855454426542,1
55,7,11.196969985961914,4.70224142074585,4.7022415320952815,0.4199565977796883,1
55,8,19.363052368164062,8.027267456054688,8.027267361070086,0.4145662214523983,1
55,9,14.019150733947754,5.9173736572265625,5.917373615237097,0.42209216303648706,1
60,0,5.855904579162598,4.170435428619385,4.170435447654163,0.7121761244982177,1
60,1,5.9031982421875,3.8666412830352783,3.866641648189042,0.6550078659737587,1
60,2,13.28123950958252,5.2273850440979,5.2273854301406635,0.39359165538173607,1
60,3,10.011720657348633,5.355919361114502,5.355919260025194,0.5349649220569535,1
60,4,6.009648323059082,4.9586076736450195,4.958607846663957,0.8251077945141634,1
60,5,16.261680603027344,5.659334182739258,5.659333918912964,0.3480165624262533,1
60,6,22.4893798828125,7.892741680145264,7.892741329091273,0.35095417131431395,1
60,7,7.554064750671387,4.898942947387695,4.898943059778121,0.6485174682878233,1
60,8,19.3502197265625,8.72329330444336,8.7232930479572,0.45081107231401046,1
60,9,20.208223342895508,6.349884986877441,6.349885388455442,0.3142228230127828,1
65,0,2.232485055923462,2.232485055923462,4.21888248678393,1.0,0
65,1,8.548257827758789,3.9948041439056396,3.994804235698911,0.46732377806075265,1
65,2,4.068198204040527,4.068198204040527,5.414915819977003,1.0,0
65,3,8.411161422729492,5.727479457855225,5.727479093718315,0.6809380024948576,1
65,4,9.569207191467285,5.087490558624268,5.0874909145158655,0.5316522525670365,1
65,5,14.49075984954834,5.998109340667725,5.9981096138589685,0.41392648853087427,1
65,6,30.352449417114258,8.565403938293457,8.565403257816074,0.282198112599896,1
65,7,6.901525020599365,5.029712677001953,5.02971255369433,0.7287827924972365,1
65,8,23.634592056274414,9.437566757202148,9.437566465965741,0.39931159948651207,1
65,9,19.0206356048584,6.9851579666137695,6.985157490778654,0.36724103819272824,1
70,0,6.556439399719238,4.340931415557861,4.340931499561338,0.6620867136732401,1
70,1,3.1896328926086426,3.1896328926086426,4.061388297807883,1.0,0
70,2,10.658095359802246,5.652835845947266,5.65283541127966,0.5303795523604838,1
70,3,13.520308494567871,5.917675018310547,5.917674689145775,0.43768786937725007,1
70,4,16.45588493347168,5.522211074829102,5.522211024205467,0.33557667042243267,1
70,5,18.66143035888672,6.364550590515137,6.364550282307404,0.34105373854605353,1
70,6,15.038362503051758,9.044175148010254,9.044174837337204,0.6014069115686569,1
70,7,14.674532890319824,5.2489333152771,5.248933252848186,0.3576899758587615,1
70,8,39.98822021484375,10.485530853271484,10.48553047553273,0.26221549238591074,1
70,9,4.763700485229492,4.763700485229492,7.42076708933195,1.0,0
75,0,7.0183515548706055,4.416468620300293,4.416469345042785,0.6292743510739849,1
75,1,3.6115472316741943,3.6115472316741943,4.107194243791354,1.0,0
75,2,10.534784317016602,5.751688003540039,5.751687989006165,0.5459711210460632,1
75,3,6.248042583465576,6.219581604003906,6.219581520497883,0.995444816663544,1
75,4,4.432104110717773,4.432104110717773,5.750764931631576,1.0,0
75,5,17.4464168548584,6.8387908935546875,6.838791186446321,0.3919882776187508,1
75,6,14.624927520751953,9.675369262695312,9.675369367598796,0.661566988893894,1
75,7,5.9401021003723145,5.436448574066162,5.436448703771716,0.9152113014564877,1
75,8,35.638668060302734,11.723015785217285,11.723015490591044,0.3289409066966602,1
75,9,22.338502883911133,7.677145957946777,7.677145956774254,0.3436732532096451,1
80,0,5.236046314239502,4.415938377380371,4.415938575090558,0.8433726732651627,1
80,1,2.7555904388427734,2.7555904388427734,4.122403289608055,1.0,0
80,2,7.771925449371338,5.826711177825928,5.82671143029451,0.7497126954939132,1
80,3,11.836204528808594,6.298261642456055,6.298262012167584,0.5321183515481228,1
80,4,19.407690048217773,5.8916239738464355,5.891624576091965,0.3035716233724306,1
80,5,12.374265670776367,7.087771415710449,7.087770934575706,0.5727831941130256,1
80,6,22.654212951660156,10.185791015625,10.185790488446058,0.4496201672227399,1
80,7,12.363380432128906,5.508780002593994,5.50877967491093,0.4455723119445749,1
80,8,27.407573699951172,12.536977767944336,12.536977538545283,0.45742749450188186,1
